id,text
1046693824742019100,"#indonesia #singapore #laos #myanmar #malaysia #southkorea #saudiarabia #northkorea #srilanka #portugal #puertorico #taiwan #turkey #cambodia 
Visit: https://t.co/p9S11ivig3
Call us on following :
Mobile: +91 9971173355
Email:- raajsurgical@gmail.com"
1046693851111534600,#autoblock #ICO #TheAutoBlockICO
1046693859315601400,Join #Video Content Producers and Digital #Marketing Heads at #Video #Marketing Strategies World 2018 in #Singapore this November  #digitalmarketing #socialmedia #onlinemarketing #internetmarketing  https://t.co/ZhgXmtYMo9
1046693914952908800,"RT @CoinFLB: CVDs kill 1 Australia every 12 minutes !!! Join Farasha against CVDs !
#FLB #FLBCOIN #AI #Cryptocurrency #Revolution #CVD #Sma…"
1046693934146019300,"RT @CoinFLB: CVDs kill 1 Australia every 12 minutes !!! Join Farasha against CVDs !
#FLB #FLBCOIN #AI #Cryptocurrency #Revolution #CVD #Sma…"
1046694005143203800,"RT @CoinFLB: CVDs kill 1 Australia every 12 minutes !!! Join Farasha against CVDs !
#FLB #FLBCOIN #AI #Cryptocurrency #Revolution #CVD #Sma…"
1046694064102363100,"RT @CoinFLB: CVDs kill 1 Australia every 12 minutes !!! Join Farasha against CVDs !
#FLB #FLBCOIN #AI #Cryptocurrency #Revolution #CVD #Sma…"
1046694082083401700,"RT @CoinFLB: CVDs kill 1 Australia every 12 minutes !!! Join Farasha against CVDs !
#FLB #FLBCOIN #AI #Cryptocurrency #Revolution #CVD #Sma…"
1046694092078440400,"RT @CoinFLB: CVDs kill 1 Australia every 12 minutes !!! Join Farasha against CVDs !
#FLB #FLBCOIN #AI #Cryptocurrency #Revolution #CVD #Sma…"
1046694152975528000,clgt
1046694167470997500,Ok
1046694177386508300,#autoblock #ICO #TheAutoBlockICO
1046694213243547600,"RT @CoinFLB: CVDs kill 1 Australia every 12 minutes !!! Join Farasha against CVDs !
#FLB #FLBCOIN #AI #Cryptocurrency #Revolution #CVD #Sma…"
