id,text
1046700631149465600,RT @PebbleRoadHQ: Participants getting deep insights from @escmum at the 2-day workshop on Content Design in #Singapore #contentdesign http…
1046700786686685200,"RT @CoinFLB: CVDs kill 1 Australia every 12 minutes !!! Join Farasha against CVDs !
#FLB #FLBCOIN #AI #Cryptocurrency #Revolution #CVD #Sma…"
1046700831528169500,"Miss World Singapore 2018 

#missworldsingapore #missworld #missworldsingapore2018 #missworld2018 #sanya #singapore #singaporemodels #gcma #gcmamalaysia #kr8tifexpress"
1046700861953470500,"RT @CoinFLB: CVDs kill 1 Australia every 12 minutes !!! Join Farasha against CVDs !
#FLB #FLBCOIN #AI #Cryptocurrency #Revolution #CVD #Sma…"
1046700895856185300,"RT @CoinFLB: CVDs kill 1 Australia every 12 minutes !!! Join Farasha against CVDs !
#FLB #FLBCOIN #AI #Cryptocurrency #Revolution #CVD #Sma…"
1046700898028847100,"RT @CoinFLB: CVDs kill 1 Australia every 12 minutes !!! Join Farasha against CVDs !
#FLB #FLBCOIN #AI #Cryptocurrency #Revolution #CVD #Sma…"
1046701022029197300,"RT @CoinFLB: CVDs kill 1 Australia every 12 minutes !!! Join Farasha against CVDs !
#FLB #FLBCOIN #AI #Cryptocurrency #Revolution #CVD #Sma…"
1046701063213060100,Very good!
1046701100814938100,nice
1046701123002933200,"RT @CoinFLB: CVDs kill 1 Australia every 12 minutes !!! Join Farasha against CVDs !
#FLB #FLBCOIN #AI #Cryptocurrency #Revolution #CVD #Sma…"
1046701141432684500,RT @unifiedinbox: The final program for tomorrow's @DLDConference here in #Singapore @CapellaSIN is now out! 🇸🇬 #SeeYouThere #DLDsingapore…
1046701246630047700,"RT @CoinFLB: CVDs kill 1 Australia every 12 minutes !!! Join Farasha against CVDs !
#FLB #FLBCOIN #AI #Cryptocurrency #Revolution #CVD #Sma…"
1046701290603114500,"RT @CoinFLB: CVDs kill 1 Australia every 12 minutes !!! Join Farasha against CVDs !
#FLB #FLBCOIN #AI #Cryptocurrency #Revolution #CVD #Sma…"
1046701340154572800,"10-HOUR FLASH SALE*

It's our Anniversary today!  So its a further 10% discount for you when you book your next stay with us today, 10PM to 8AM. 

Book your rooms today at https://t.co/wa6Hgwuyrk.

#concordehotelsg #flashsale #singapore #celebrations #concorde10anniversary https://t.co/xDKNebK8UM"
1046701346362216400,"RT @CoinFLB: CVDs kill 1 Australia every 12 minutes !!! Join Farasha against CVDs !
#FLB #FLBCOIN #AI #Cryptocurrency #Revolution #CVD #Sma…"
1046701410371481600,I would never have believed myself   ::  https://t.co/eiUAQd9um9     #Yunnan #China #InstaChina #Travel #TravelBlogger #Singapore #Philippines
1046701413504409600,Good
1046701437000937500,FLB COIN @CoinFLB
1046701446425718800,"1st #prize of #Startup City #competition:
An airline ticket to #Singapore
5* hotel accomodation in Singapore
#Conference visitor ticket
Personal #presentation of your project to #investors
Participate: https://t.co/HIt85Udx0J
#startupcity #startupcity2018 #startupcompetition https://t.co/ZdXbJGO3Mc"
1046701488200806400,"RT @CoinFLB: CVDs kill 1 Australia every 12 minutes !!! Join Farasha against CVDs !
#FLB #FLBCOIN #AI #Cryptocurrency #Revolution #CVD #Sma…"
1046701503350595600,"RT @CoinFLB: CVDs kill 1 Australia every 12 minutes !!! Join Farasha against CVDs !
#FLB #FLBCOIN #AI #Cryptocurrency #Revolution #CVD #Sma…"
1046701528608792600,"RT @CoinFLB: CVDs kill 1 Australia every 12 minutes !!! Join Farasha against CVDs !
#FLB #FLBCOIN #AI #Cryptocurrency #Revolution #CVD #Sma…"
1046701559030140900,"RT @CoinFLB: CVDs kill 1 Australia every 12 minutes !!! Join Farasha against CVDs !
#FLB #FLBCOIN #AI #Cryptocurrency #Revolution #CVD #Sma…"
1046701590583763000,FLB COIN @CoinFLB
1046701617074995200,"Flow Cytometry 2019:
#World_Flow_Cytometry_Congress  welcomes everyone around the globe during September 18-19, 2019 in #Singapore City_Singapore which incorporates incite keynote introductions, Workshops, Poster introductions, Exhibitions and Oral talks.
https://t.co/qtKyuM1d9l https://t.co/ls3fHNtFp2"
1046701719059615700,"These Are the Best Cities for Tech Companies in Asia. Read here: https://t.co/UjvFwCvZ5L
#tech #asia #singapore #smartcity #bangalore #shenzhen"
1046701769596653600,"RT @CoinFLB: CVDs kill 1 Australia every 12 minutes !!! Join Farasha against CVDs !
#FLB #FLBCOIN #AI #Cryptocurrency #Revolution #CVD #Sma…"
1046701812424663000,command:///skip_task
1046701895916621800,great!
1046701951067541500,Great team for a good project !
1046701974907891700,"RT @CoinFLB: CVDs kill 1 Australia every 12 minutes !!! Join Farasha against CVDs !
#FLB #FLBCOIN #AI #Cryptocurrency #Revolution #CVD #Sma…"
1046701977919467500,Relaxing and waiting to the trip home. It’s been a really relaxing and absolutely fun trip. Love to come back and visit again #Singapore #longweekend @ Qantas International Business… https://t.co/WFMeIM2u18
1046701980662591500,"RT @CoinFLB: CVDs kill 1 Australia every 12 minutes !!! Join Farasha against CVDs !
#FLB #FLBCOIN #AI #Cryptocurrency #Revolution #CVD #Sma…"
1046702039105822700,"RT @VibrantGujarat: Full House @VibrantGujarat 2019 RoadShow in #Singapore  led by Mr. Rajkumar Beniwal,MD iNDEXTb.The event showcased the…"
1046702064292642800,"RT @CoinFLB: CVDs kill 1 Australia every 12 minutes !!! Join Farasha against CVDs !
#FLB #FLBCOIN #AI #Cryptocurrency #Revolution #CVD #Sma…"
1046702090020622300,"RT @CoinFLB: CVDs kill 1 Australia every 12 minutes !!! Join Farasha against CVDs !
#FLB #FLBCOIN #AI #Cryptocurrency #Revolution #CVD #Sma…"
1046702140742357000,"RT @CoinFLB: CVDs kill 1 Australia every 12 minutes !!! Join Farasha against CVDs !
#FLB #FLBCOIN #AI #Cryptocurrency #Revolution #CVD #Sma…"
1046702232857645000,"""Through comparing my requirements with a lot of different schools, Driving School Near Me made me choose the best option – Ellen Jenkins, Module Balance "" https://t.co/wQXP6gEBs7 #Centurion #Driver'sLicence #DrivingLessons #DrivingSchool #Education #Singapore #Johannesburg https://t.co/AOzjwJzOb7"
1046702315850399700,"RT @CoinFLB: CVDs kill 1 Australia every 12 minutes !!! Join Farasha against CVDs !
#FLB #FLBCOIN #AI #Cryptocurrency #Revolution #CVD #Sma…"
1046702330966675500,ok
1046702400034168800,"RT @CoinFLB: CVDs kill 1 Australia every 12 minutes !!! Join Farasha against CVDs !
#FLB #FLBCOIN #AI #Cryptocurrency #Revolution #CVD #Sma…"
1046702400915099600,hi
1046702449954828300,hi
1046702492053049300,"RT @CoinFLB: CVDs kill 1 Australia every 12 minutes !!! Join Farasha against CVDs !
#FLB #FLBCOIN #AI #Cryptocurrency #Revolution #CVD #Sma…"
1046702511699185700,ok
1046702551549112300,FLB COIN @CoinFLB
1046702571166060500,yep
1046702640309112800,The latest #Singapore 360! https://t.co/VkRtEdjLEv Thanks to @Preirna_Prachi @Singaporeblog8 @charlonichole #singapore #job
1046702653521068000,"RT @CoinFLB: CVDs kill 1 Australia every 12 minutes !!! Join Farasha against CVDs !
#FLB #FLBCOIN #AI #Cryptocurrency #Revolution #CVD #Sma…"
1046702691655843800,Deepavali is already here singapore !! 🤩✨🎆🎇#littleindia #deepavalimarket #colorful #singapore #deepavali #diwalidecor #diwali @ Singapore https://t.co/uHw1L06kLh
1046702717069152300,"RT @CoinFLB: CVDs kill 1 Australia every 12 minutes !!! Join Farasha against CVDs !
#FLB #FLBCOIN #AI #Cryptocurrency #Revolution #CVD #Sma…"
1046702717945569300,"RT @CoinFLB: CVDs kill 1 Australia every 12 minutes !!! Join Farasha against CVDs !
#FLB #FLBCOIN #AI #Cryptocurrency #Revolution #CVD #Sma…"
1046702766343643100,FLB COIN @CoinFLB
1046702766851125200,Join the Standard Chartered Bank team! See our latest #job opening here: https://t.co/FIKjyRYtRM #FinTech #Finance #Singapore #Hiring
1046702838209007600,"RT @AskTamesh: @InSkybags Don't stop until you're proud 
#UniversalStudios #Chinatown #singapore🇸🇬
#MoveInStyle 
#WorldTourismDay 
#WorldTo…"
1046702855149707300,"RT @AskTamesh: @InSkybags Trying to become the best version of myself 😎😎 
#Singapore🇸🇬
#MoveInStyle 
#WorldTourismDay 
#WorldTourismDay2018…"
1046702921050550300,Italian word of the day: 'Quindi' https://t.co/jnqOIC5SgJ #italy #singapore #asia https://t.co/TdQhx3bmNM
1046702960095322100,"RT @CoinFLB: CVDs kill 1 Australia every 12 minutes !!! Join Farasha against CVDs !
#FLB #FLBCOIN #AI #Cryptocurrency #Revolution #CVD #Sma…"
1046702974146244600,lol
1046703060599345200,"RT @CoinFLB: CVDs kill 1 Australia every 12 minutes !!! Join Farasha against CVDs !
#FLB #FLBCOIN #AI #Cryptocurrency #Revolution #CVD #Sma…"
1046703091326668800,"At Thermo Fisher Scientific, we have a culture that welcomes your ideas and opportunities that only a global leader can provide! Join the Thermo Fisher team in #Singapore and learn more about what it’s like to work with us! https://t.co/CJyGIeA73V #LifeAtThermoFisher #IT"
1046703108129247200,"RT @CoinFLB: CVDs kill 1 Australia every 12 minutes !!! Join Farasha against CVDs !
#FLB #FLBCOIN #AI #Cryptocurrency #Revolution #CVD #Sma…"
1046703122029195300,"RT @CoinFLB: CVDs kill 1 Australia every 12 minutes !!! Join Farasha against CVDs !
#FLB #FLBCOIN #AI #Cryptocurrency #Revolution #CVD #Sma…"
1046703122612011000,Happy project
1046703277260369900,"@ofo_fr gets #bike share licence for 25,000-strong #fleet in #Singapore @salinafirm https://t.co/1eODvru38Q https://t.co/OfLv7NuOek"
1046703438917234700,Nice one
1046703630588375000,"RT @CoinFLB: CVDs kill 1 Australia every 12 minutes !!! Join Farasha against CVDs !
#FLB #FLBCOIN #AI #Cryptocurrency #Revolution #CVD #Sma…"
1046703782648635400,FLB COIN @CoinFLB
1046703787115778000,for being back in China   ::  https://t.co/W43RUjfQoS     #Yunnan #China #InstaChina #Travel #TravelBlogger #Singapore #Philippines
